=== Model Evaluation Results ===

Image: 6.bmp_4738_0.png | Predicted: 0 | Actual: 0 | Probability: 94.22%
Image: 6.bmp_4351_0.png | Predicted: 0 | Actual: 0 | Probability: 93.64%
Image: 6.bmp_4780_0.png | Predicted: 0 | Actual: 0 | Probability: 92.15%
Image: 6.bmp_3604_0.png | Predicted: 0 | Actual: 0 | Probability: 95.20%
Image: 6.bmp_4314_0.png | Predicted: 0 | Actual: 0 | Probability: 95.62%
Image: 6.bmp_1572_0.png | Predicted: 0 | Actual: 0 | Probability: 61.10%
Image: 6.bmp_76_0.png | Predicted: 0 | Actual: 0 | Probability: 73.55%
Image: 6.bmp_708_0.png | Predicted: 1 | Actual: 0 | Probability: 78.28%
Image: 6.bmp_2034_0.png | Predicted: 0 | Actual: 0 | Probability: 90.53%
Image: 6.bmp_2877_0.png | Predicted: 0 | Actual: 0 | Probability: 80.45%
Image: 6.bmp_33_0.png | Predicted: 0 | Actual: 0 | Probability: 66.51%
Image: 6.bmp_2832_0.png | Predicted: 1 | Actual: 0 | Probability: 61.00%
Image: 6.bmp_3034_0.png | Predicted: 0 | Actual: 0 | Probability: 64.56%
Image: 6.bmp_3877_0.png | Predicted: 0 | Actual: 0 | Probability: 75.47%
Image: 6.bmp_4524_0.png | Predicted: 0 | Actual: 0 | Probability: 87.47%
Image: 6.bmp_1342_0.png | Predicted: 0 | Actual: 0 | Probability: 81.53%
Image: 6.bmp_1793_0.png | Predicted: 0 | Actual: 0 | Probability: 93.83%
Image: 6.bmp_3071_0.png | Predicted: 0 | Actual: 0 | Probability: 97.03%
Image: 6.bmp_4561_0.png | Predicted: 0 | Actual: 0 | Probability: 68.96%
Image: 6.bmp_3832_0.png | Predicted: 0 | Actual: 0 | Probability: 86.84%
Image: 6.bmp_3719_0.png | Predicted: 0 | Actual: 0 | Probability: 67.86%
Image: 6.bmp_4209_0.png | Predicted: 0 | Actual: 0 | Probability: 91.71%
Image: 6.bmp_2564_1.png | Predicted: 1 | Actual: 1 | Probability: 72.19%
Image: 6.bmp_2719_0.png | Predicted: 0 | Actual: 0 | Probability: 54.61%
Image: 6.bmp_866_0.png | Predicted: 0 | Actual: 0 | Probability: 95.59%
Image: 6.bmp_2335_0.png | Predicted: 0 | Actual: 0 | Probability: 96.82%
Image: 6.bmp_409_0.png | Predicted: 0 | Actual: 0 | Probability: 94.51%
Image: 6.bmp_2370_0.png | Predicted: 0 | Actual: 0 | Probability: 73.30%
Image: 6.bmp_1492_0.png | Predicted: 0 | Actual: 0 | Probability: 68.87%
Image: 6.bmp_4625_0.png | Predicted: 0 | Actual: 0 | Probability: 95.55%
Image: 6.bmp_1043_0.png | Predicted: 0 | Actual: 0 | Probability: 96.99%
Image: 6.bmp_1800_0.png | Predicted: 0 | Actual: 0 | Probability: 57.18%
Image: 6.bmp_3335_0.png | Predicted: 0 | Actual: 0 | Probability: 78.29%
Image: 6.bmp_1006_0.png | Predicted: 0 | Actual: 0 | Probability: 95.85%
Image: 6.bmp_4660_0.png | Predicted: 1 | Actual: 0 | Probability: 60.65%
Image: 6.bmp_3370_0.png | Predicted: 1 | Actual: 0 | Probability: 60.54%
Image: 6.bmp_1845_0.png | Predicted: 0 | Actual: 0 | Probability: 92.23%
Image: 6.bmp_4108_0.png | Predicted: 0 | Actual: 0 | Probability: 98.70%
Image: 6.bmp_3418_0.png | Predicted: 0 | Actual: 0 | Probability: 81.57%
Image: 6.bmp_324_0.png | Predicted: 0 | Actual: 0 | Probability: 94.57%
Image: 6.bmp_5108_0.png | Predicted: 0 | Actual: 0 | Probability: 96.12%
Image: 6.bmp_2175_1.png | Predicted: 1 | Actual: 1 | Probability: 66.11%
Image: 6.bmp_471_0.png | Predicted: 0 | Actual: 0 | Probability: 89.98%
Image: 6.bmp_2130_1.png | Predicted: 0 | Actual: 1 | Probability: 86.63%
Image: 6.bmp_434_0.png | Predicted: 0 | Actual: 0 | Probability: 78.77%
Image: 6.bmp_2308_0.png | Predicted: 0 | Actual: 0 | Probability: 63.21%
Image: 6.bmp_1878_0.png | Predicted: 0 | Actual: 0 | Probability: 87.88%
Image: 6.bmp_1697_1.png | Predicted: 1 | Actual: 1 | Probability: 56.47%
Image: 6.bmp_3308_0.png | Predicted: 0 | Actual: 0 | Probability: 50.49%
Image: 6.bmp_4618_0.png | Predicted: 0 | Actual: 0 | Probability: 94.25%
Image: 6.bmp_3130_1.png | Predicted: 0 | Actual: 1 | Probability: 91.22%
Image: 6.bmp_1382_0.png | Predicted: 0 | Actual: 0 | Probability: 81.09%
Image: 6.bmp_3425_0.png | Predicted: 0 | Actual: 0 | Probability: 89.67%
Image: 6.bmp_4976_0.png | Predicted: 0 | Actual: 0 | Probability: 94.27%
Image: 6.bmp_1753_0.png | Predicted: 0 | Actual: 0 | Probability: 95.64%
Image: 6.bmp_4135_0.png | Predicted: 0 | Actual: 0 | Probability: 91.81%
Image: 6.bmp_4933_0.png | Predicted: 0 | Actual: 0 | Probability: 88.15%
Image: 6.bmp_3460_0.png | Predicted: 0 | Actual: 0 | Probability: 94.73%
Image: 6.bmp_4170_0.png | Predicted: 0 | Actual: 0 | Probability: 77.42%
Image: 6.bmp_1716_0.png | Predicted: 0 | Actual: 0 | Probability: 74.51%
Image: 6.bmp_2425_0.png | Predicted: 0 | Actual: 0 | Probability: 95.04%
Image: 6.bmp_319_0.png | Predicted: 0 | Actual: 0 | Probability: 97.32%
Image: 6.bmp_2460_0.png | Predicted: 0 | Actual: 0 | Probability: 89.60%
Image: 6.bmp_770_0.png | Predicted: 0 | Actual: 0 | Probability: 94.04%
Image: 6.bmp_2009_0.png | Predicted: 0 | Actual: 0 | Probability: 94.58%
Image: 6.bmp_735_0.png | Predicted: 0 | Actual: 0 | Probability: 96.70%
Image: 6.bmp_4519_0.png | Predicted: 0 | Actual: 0 | Probability: 74.67%
Image: 6.bmp_3009_0.png | Predicted: 0 | Actual: 0 | Probability: 93.84%
Image: 6.bmp_1452_0.png | Predicted: 0 | Actual: 0 | Probability: 97.84%
Image: 6.bmp_4234_0.png | Predicted: 0 | Actual: 0 | Probability: 96.93%
Image: 6.bmp_3724_0.png | Predicted: 0 | Actual: 0 | Probability: 50.34%
Image: 6.bmp_1083_0.png | Predicted: 0 | Actual: 0 | Probability: 57.13%
Image: 6.bmp_4271_0.png | Predicted: 0 | Actual: 0 | Probability: 93.32%
Image: 6.bmp_1417_0.png | Predicted: 0 | Actual: 0 | Probability: 90.70%
Image: 6.bmp_3761_0.png | Predicted: 0 | Actual: 0 | Probability: 91.53%
Image: 6.bmp_1885_0.png | Predicted: 0 | Actual: 0 | Probability: 95.84%
Image: 6.bmp_2724_0.png | Predicted: 0 | Actual: 0 | Probability: 94.15%
Image: 6.bmp_2559_1.png | Predicted: 0 | Actual: 1 | Probability: 87.83%
Image: 6.bmp_2761_0.png | Predicted: 0 | Actual: 0 | Probability: 90.86%
Image: 6.bmp_3912_0.png | Predicted: 0 | Actual: 0 | Probability: 97.82%
Image: 6.bmp_4441_0.png | Predicted: 1 | Actual: 0 | Probability: 70.48%
Image: 6.bmp_1227_0.png | Predicted: 0 | Actual: 0 | Probability: 61.86%
Image: 6.bmp_3151_0.png | Predicted: 0 | Actual: 0 | Probability: 80.93%
Image: 6.bmp_3580_0.png | Predicted: 0 | Actual: 0 | Probability: 95.68%
Image: 6.bmp_4090_0.png | Predicted: 0 | Actual: 0 | Probability: 52.81%
Image: 6.bmp_1262_0.png | Predicted: 0 | Actual: 0 | Probability: 67.31%
Image: 6.bmp_4404_0.png | Predicted: 0 | Actual: 0 | Probability: 90.11%
Image: 6.bmp_3957_0.png | Predicted: 1 | Actual: 0 | Probability: 53.36%
Image: 6.bmp_3114_0.png | Predicted: 0 | Actual: 0 | Probability: 62.01%
Image: 6.bmp_4896_0.png | Predicted: 0 | Actual: 0 | Probability: 91.07%
Image: 6.bmp_5090_0.png | Predicted: 0 | Actual: 0 | Probability: 88.10%
Image: 6.bmp_2912_0.png | Predicted: 0 | Actual: 0 | Probability: 63.72%
Image: 6.bmp_2151_0.png | Predicted: 1 | Actual: 0 | Probability: 63.94%
Image: 6.bmp_628_0.png | Predicted: 0 | Actual: 0 | Probability: 81.39%
Image: 6.bmp_2957_0.png | Predicted: 0 | Actual: 0 | Probability: 78.52%
Image: 6.bmp_2114_0.png | Predicted: 0 | Actual: 0 | Probability: 94.86%
Image: 6.bmp_2639_0.png | Predicted: 0 | Actual: 0 | Probability: 89.05%
Image: 6.bmp_2893_1.png | Predicted: 1 | Actual: 1 | Probability: 55.06%
Image: 6.bmp_105_0.png | Predicted: 0 | Actual: 0 | Probability: 93.37%
Image: 6.bmp_946_0.png | Predicted: 0 | Actual: 0 | Probability: 84.33%
Image: 6.bmp_591_0.png | Predicted: 0 | Actual: 0 | Probability: 82.50%
Image: 6.bmp_140_0.png | Predicted: 0 | Actual: 0 | Probability: 88.47%
Image: 6.bmp_903_0.png | Predicted: 0 | Actual: 0 | Probability: 75.17%
Image: 6.bmp_1777_1.png | Predicted: 1 | Actual: 1 | Probability: 75.83%
Image: 6.bmp_4329_0.png | Predicted: 0 | Actual: 0 | Probability: 87.13%
Image: 6.bmp_3639_0.png | Predicted: 0 | Actual: 0 | Probability: 78.48%
Image: 6.bmp_1998_0.png | Predicted: 0 | Actual: 0 | Probability: 72.13%
Image: 6.bmp_4391_0.png | Predicted: 0 | Actual: 0 | Probability: 92.71%
Image: 6.bmp_3681_0.png | Predicted: 0 | Actual: 0 | Probability: 93.17%
Image: 6.bmp_1965_0.png | Predicted: 0 | Actual: 0 | Probability: 77.89%
Image: 6.bmp_3250_0.png | Predicted: 0 | Actual: 0 | Probability: 94.38%
Image: 6.bmp_4740_0.png | Predicted: 0 | Actual: 0 | Probability: 54.72%
Image: 6.bmp_1126_0.png | Predicted: 0 | Actual: 0 | Probability: 92.91%
Image: 6.bmp_1920_0.png | Predicted: 1 | Actual: 0 | Probability: 62.48%
Image: 6.bmp_1163_0.png | Predicted: 1 | Actual: 0 | Probability: 50.76%
Image: 6.bmp_4705_0.png | Predicted: 0 | Actual: 0 | Probability: 96.59%
Image: 6.bmp_2250_0.png | Predicted: 0 | Actual: 0 | Probability: 93.12%
Image: 6.bmp_2681_0.png | Predicted: 0 | Actual: 0 | Probability: 95.66%
Image: 6.bmp_2215_0.png | Predicted: 0 | Actual: 0 | Probability: 67.75%
Image: 6.bmp_529_0.png | Predicted: 0 | Actual: 0 | Probability: 99.31%
Image: 6.bmp_204_0.png | Predicted: 1 | Actual: 0 | Probability: 94.70%
Image: 6.bmp_2538_0.png | Predicted: 0 | Actual: 0 | Probability: 94.13%
Image: 6.bmp_5028_0.png | Predicted: 0 | Actual: 0 | Probability: 94.56%
Image: 6.bmp_241_0.png | Predicted: 0 | Actual: 0 | Probability: 92.89%
Image: 6.bmp_690_0.png | Predicted: 0 | Actual: 0 | Probability: 96.50%
Image: 6.bmp_2394_1.png | Predicted: 0 | Actual: 1 | Probability: 56.98%
Image: 6.bmp_3538_0.png | Predicted: 0 | Actual: 0 | Probability: 95.50%
Image: 6.bmp_4028_0.png | Predicted: 0 | Actual: 0 | Probability: 90.23%
Image: 6.bmp_1476_0.png | Predicted: 0 | Actual: 0 | Probability: 76.02%
Image: 6.bmp_4210_0.png | Predicted: 0 | Actual: 0 | Probability: 80.04%
Image: 6.bmp_3700_0.png | Predicted: 0 | Actual: 0 | Probability: 94.99%
Image: 6.bmp_4255_0.png | Predicted: 0 | Actual: 0 | Probability: 93.79%
Image: 6.bmp_1433_0.png | Predicted: 0 | Actual: 0 | Probability: 91.48%
Image: 6.bmp_3745_0.png | Predicted: 0 | Actual: 0 | Probability: 78.15%
Image: 6.bmp_3394_0.png | Predicted: 0 | Actual: 0 | Probability: 98.24%
Image: 6.bmp_4684_0.png | Predicted: 0 | Actual: 0 | Probability: 87.00%
Image: 6.bmp_2700_0.png | Predicted: 0 | Actual: 0 | Probability: 88.04%
Image: 6.bmp_2745_0.png | Predicted: 0 | Actual: 0 | Probability: 90.30%
Image: 6.bmp_2068_0.png | Predicted: 0 | Actual: 0 | Probability: 53.63%
Image: 6.bmp_385_0.png | Predicted: 0 | Actual: 0 | Probability: 68.16%
Image: 6.bmp_754_0.png | Predicted: 0 | Actual: 0 | Probability: 91.86%
Image: 6.bmp_711_0.png | Predicted: 0 | Actual: 0 | Probability: 62.30%
Image: 6.bmp_4578_0.png | Predicted: 0 | Actual: 0 | Probability: 94.76%
Image: 6.bmp_3068_0.png | Predicted: 0 | Actual: 0 | Probability: 93.96%
Image: 6.bmp_3215_1.png | Predicted: 1 | Actual: 1 | Probability: 80.00%
Image: 6.bmp_3893_0.png | Predicted: 0 | Actual: 0 | Probability: 91.85%
Image: 6.bmp_4952_0.png | Predicted: 0 | Actual: 0 | Probability: 95.68%
Image: 6.bmp_3401_0.png | Predicted: 0 | Actual: 0 | Probability: 96.71%
Image: 6.bmp_4111_0.png | Predicted: 0 | Actual: 0 | Probability: 99.35%
Image: 6.bmp_4585_0.png | Predicted: 0 | Actual: 0 | Probability: 95.61%
Image: 6.bmp_3095_0.png | Predicted: 0 | Actual: 0 | Probability: 86.51%
Image: 6.bmp_3444_0.png | Predicted: 0 | Actual: 0 | Probability: 94.93%
Image: 6.bmp_4917_0.png | Predicted: 0 | Actual: 0 | Probability: 94.38%
Image: 6.bmp_4154_0.png | Predicted: 0 | Actual: 0 | Probability: 96.86%
Image: 6.bmp_1732_0.png | Predicted: 0 | Actual: 0 | Probability: 52.34%
Image: 6.bmp_92_0.png | Predicted: 0 | Actual: 0 | Probability: 95.18%
Image: 6.bmp_2401_0.png | Predicted: 0 | Actual: 0 | Probability: 77.71%
Image: 6.bmp_5111_0.png | Predicted: 0 | Actual: 0 | Probability: 93.56%
Image: 6.bmp_2444_0.png | Predicted: 0 | Actual: 0 | Probability: 96.34%
Image: 6.bmp_2095_0.png | Predicted: 0 | Actual: 0 | Probability: 67.42%
Image: 6.bmp_378_0.png | Predicted: 0 | Actual: 0 | Probability: 93.15%
Image: 6.bmp_455_0.png | Predicted: 1 | Actual: 0 | Probability: 55.97%
Image: 6.bmp_2369_0.png | Predicted: 0 | Actual: 0 | Probability: 93.55%
Image: 6.bmp_2580_1.png | Predicted: 0 | Actual: 1 | Probability: 88.23%
Image: 6.bmp_410_0.png | Predicted: 0 | Actual: 0 | Probability: 92.74%
Image: 6.bmp_882_0.png | Predicted: 0 | Actual: 0 | Probability: 64.97%
Image: 6.bmp_3369_0.png | Predicted: 0 | Actual: 0 | Probability: 60.59%
Image: 6.bmp_4679_0.png | Predicted: 0 | Actual: 0 | Probability: 88.18%
Image: 6.bmp_1819_0.png | Predicted: 0 | Actual: 0 | Probability: 96.17%
Image: 6.bmp_220_0.png | Predicted: 0 | Actual: 0 | Probability: 95.14%
Image: 6.bmp_265_0.png | Predicted: 0 | Actual: 0 | Probability: 94.29%
Image: 6.bmp_2188_0.png | Predicted: 0 | Actual: 0 | Probability: 78.00%
Image: 6.bmp_5049_0.png | Predicted: 0 | Actual: 0 | Probability: 80.39%
Image: 6.bmp_3559_0.png | Predicted: 0 | Actual: 0 | Probability: 93.81%
Image: 6.bmp_4049_0.png | Predicted: 0 | Actual: 0 | Probability: 90.37%
Image: 6.bmp_4498_0.png | Predicted: 0 | Actual: 0 | Probability: 94.93%
Image: 6.bmp_3188_0.png | Predicted: 0 | Actual: 0 | Probability: 68.27%
Image: 6.bmp_3274_0.png | Predicted: 0 | Actual: 0 | Probability: 55.95%
Image: 6.bmp_1941_0.png | Predicted: 0 | Actual: 0 | Probability: 75.23%
Image: 6.bmp_4764_0.png | Predicted: 0 | Actual: 0 | Probability: 66.08%
Image: 6.bmp_1102_0.png | Predicted: 0 | Actual: 0 | Probability: 94.98%
Image: 6.bmp_1596_0.png | Predicted: 0 | Actual: 0 | Probability: 58.43%
Image: 6.bmp_1904_0.png | Predicted: 1 | Actual: 0 | Probability: 55.46%
Image: 6.bmp_3231_0.png | Predicted: 0 | Actual: 0 | Probability: 98.36%
Image: 6.bmp_1147_0.png | Predicted: 0 | Actual: 0 | Probability: 97.57%
Image: 6.bmp_4721_0.png | Predicted: 0 | Actual: 0 | Probability: 62.03%
Image: 6.bmp_2274_0.png | Predicted: 0 | Actual: 0 | Probability: 94.32%
Image: 6.bmp_199_0.png | Predicted: 0 | Actual: 0 | Probability: 58.74%
Image: 6.bmp_548_0.png | Predicted: 0 | Actual: 0 | Probability: 61.54%
Image: 6.bmp_2231_0.png | Predicted: 0 | Actual: 0 | Probability: 54.20%
Image: 6.bmp_121_0.png | Predicted: 0 | Actual: 0 | Probability: 62.31%
Image: 6.bmp_962_0.png | Predicted: 0 | Actual: 0 | Probability: 90.68%
Image: 6.bmp_2658_0.png | Predicted: 0 | Actual: 0 | Probability: 94.46%
Image: 6.bmp_2289_0.png | Predicted: 0 | Actual: 0 | Probability: 52.59%
Image: 6.bmp_164_0.png | Predicted: 0 | Actual: 0 | Probability: 87.08%
Image: 6.bmp_927_0.png | Predicted: 0 | Actual: 0 | Probability: 99.22%
Image: 6.bmp_3289_0.png | Predicted: 0 | Actual: 0 | Probability: 76.48%
Image: 6.bmp_4799_0.png | Predicted: 0 | Actual: 0 | Probability: 92.52%
Image: 6.bmp_4348_0.png | Predicted: 0 | Actual: 0 | Probability: 94.51%
Image: 6.bmp_3658_0.png | Predicted: 0 | Actual: 0 | Probability: 83.23%
Image: 6.bmp_4465_0.png | Predicted: 0 | Actual: 0 | Probability: 89.36%
Image: 6.bmp_1203_0.png | Predicted: 0 | Actual: 0 | Probability: 96.20%
Image: 6.bmp_3936_0.png | Predicted: 0 | Actual: 0 | Probability: 95.23%
Image: 6.bmp_3175_0.png | Predicted: 0 | Actual: 0 | Probability: 94.09%
Image: 6.bmp_3973_0.png | Predicted: 0 | Actual: 0 | Probability: 95.09%
Image: 6.bmp_1246_0.png | Predicted: 1 | Actual: 0 | Probability: 67.08%
Image: 6.bmp_4420_0.png | Predicted: 0 | Actual: 0 | Probability: 56.44%
Image: 6.bmp_649_0.png | Predicted: 0 | Actual: 0 | Probability: 92.36%
Image: 6.bmp_2936_0.png | Predicted: 0 | Actual: 0 | Probability: 69.60%
Image: 6.bmp_298_0.png | Predicted: 0 | Actual: 0 | Probability: 94.12%
Image: 6.bmp_2973_0.png | Predicted: 0 | Actual: 0 | Probability: 77.29%
Image: 6.bmp_159_0.png | Predicted: 0 | Actual: 0 | Probability: 94.17%
Image: 6.bmp_588_0.png | Predicted: 0 | Actual: 0 | Probability: 61.50%
Image: 6.bmp_2665_0.png | Predicted: 0 | Actual: 0 | Probability: 94.42%
Image: 6.bmp_361_1.png | Predicted: 1 | Actual: 1 | Probability: 74.38%
Image: 6.bmp_2418_1.png | Predicted: 0 | Actual: 1 | Probability: 69.85%
Image: 6.bmp_2620_0.png | Predicted: 0 | Actual: 0 | Probability: 92.99%
Image: 6.bmp_3665_0.png | Predicted: 0 | Actual: 0 | Probability: 76.06%
Image: 6.bmp_1513_0.png | Predicted: 0 | Actual: 0 | Probability: 69.37%
Image: 6.bmp_4375_0.png | Predicted: 0 | Actual: 0 | Probability: 96.24%
Image: 6.bmp_1981_0.png | Predicted: 1 | Actual: 0 | Probability: 52.70%
Image: 6.bmp_3620_0.png | Predicted: 1 | Actual: 0 | Probability: 51.25%
Image: 6.bmp_4330_0.png | Predicted: 0 | Actual: 0 | Probability: 60.92%
Image: 6.bmp_1556_0.png | Predicted: 0 | Actual: 0 | Probability: 57.56%
Image: 6.bmp_1187_0.png | Predicted: 0 | Actual: 0 | Probability: 80.58%
Image: 6.bmp_4089_0.png | Predicted: 1 | Actual: 0 | Probability: 77.31%
Image: 6.bmp_3599_0.png | Predicted: 0 | Actual: 0 | Probability: 88.67%
Image: 6.bmp_3148_0.png | Predicted: 0 | Actual: 0 | Probability: 93.16%
Image: 6.bmp_4458_0.png | Predicted: 0 | Actual: 0 | Probability: 80.13%
Image: 6.bmp_631_0.png | Predicted: 0 | Actual: 0 | Probability: 71.69%
Image: 6.bmp_2148_0.png | Predicted: 0 | Actual: 0 | Probability: 70.46%
Image: 6.bmp_5089_0.png | Predicted: 0 | Actual: 0 | Probability: 96.27%
Image: 6.bmp_2599_0.png | Predicted: 0 | Actual: 0 | Probability: 95.81%
Image: 6.bmp_674_0.png | Predicted: 0 | Actual: 0 | Probability: 70.24%
Image: 6.bmp_5074_0.png | Predicted: 0 | Actual: 0 | Probability: 73.45%
Image: 6.bmp_823_1.png | Predicted: 0 | Actual: 1 | Probability: 78.73%
Image: 6.bmp_689_0.png | Predicted: 0 | Actual: 0 | Probability: 89.01%
Image: 6.bmp_258_0.png | Predicted: 0 | Actual: 0 | Probability: 96.14%
Image: 6.bmp_5031_0.png | Predicted: 0 | Actual: 0 | Probability: 89.30%
Image: 6.bmp_2521_0.png | Predicted: 0 | Actual: 0 | Probability: 93.29%
Image: 6.bmp_1612_0.png | Predicted: 0 | Actual: 0 | Probability: 93.25%
Image: 6.bmp_4074_0.png | Predicted: 0 | Actual: 0 | Probability: 93.78%
Image: 6.bmp_4837_0.png | Predicted: 0 | Actual: 0 | Probability: 95.37%
Image: 6.bmp_3564_0.png | Predicted: 0 | Actual: 0 | Probability: 88.48%
Image: 6.bmp_1286_0.png | Predicted: 0 | Actual: 0 | Probability: 94.58%
Image: 6.bmp_4031_0.png | Predicted: 0 | Actual: 0 | Probability: 95.93%
Image: 6.bmp_1657_0.png | Predicted: 1 | Actual: 0 | Probability: 63.43%
Image: 6.bmp_3521_0.png | Predicted: 0 | Actual: 0 | Probability: 88.96%
Image: 6.bmp_4872_0.png | Predicted: 0 | Actual: 0 | Probability: 95.90%
Image: 6.bmp_1939_0.png | Predicted: 0 | Actual: 0 | Probability: 83.62%
Image: 6.bmp_4759_0.png | Predicted: 0 | Actual: 0 | Probability: 94.02%
Image: 6.bmp_3249_0.png | Predicted: 0 | Actual: 0 | Probability: 99.33%
Image: 6.bmp_3698_0.png | Predicted: 0 | Actual: 0 | Probability: 95.33%
Image: 6.bmp_1307_1.png | Predicted: 1 | Actual: 1 | Probability: 75.71%
Image: 6.bmp_4388_0.png | Predicted: 0 | Actual: 0 | Probability: 94.09%
Image: 6.bmp_530_0.png | Predicted: 0 | Actual: 0 | Probability: 95.04%
Image: 6.bmp_575_0.png | Predicted: 0 | Actual: 0 | Probability: 94.52%
Image: 6.bmp_2698_0.png | Predicted: 0 | Actual: 0 | Probability: 98.35%
Image: 6.bmp_2071_1.png | Predicted: 0 | Actual: 1 | Probability: 63.54%
Image: 6.bmp_2249_0.png | Predicted: 0 | Actual: 0 | Probability: 92.59%
Image: 6.bmp_3290_1.png | Predicted: 1 | Actual: 1 | Probability: 53.53%
Image: 6.bmp_4169_0.png | Predicted: 0 | Actual: 0 | Probability: 75.49%
Image: 6.bmp_3479_0.png | Predicted: 0 | Actual: 0 | Probability: 95.58%
Image: 6.bmp_345_0.png | Predicted: 0 | Actual: 0 | Probability: 94.40%
Image: 6.bmp_794_0.png | Predicted: 0 | Actual: 0 | Probability: 71.76%
Image: 6.bmp_2479_0.png | Predicted: 0 | Actual: 0 | Probability: 55.42%
Image: 6.bmp_300_0.png | Predicted: 0 | Actual: 0 | Probability: 98.06%
Image: 6.bmp_2311_0.png | Predicted: 1 | Actual: 0 | Probability: 63.63%
Image: 6.bmp_2354_0.png | Predicted: 0 | Actual: 0 | Probability: 87.33%
Image: 6.bmp_2785_0.png | Predicted: 0 | Actual: 0 | Probability: 50.19%
Image: 6.bmp_468_0.png | Predicted: 0 | Actual: 0 | Probability: 94.09%
Image: 6.bmp_281_1.png | Predicted: 1 | Actual: 1 | Probability: 94.37%
Image: 6.bmp_3129_1.png | Predicted: 1 | Actual: 1 | Probability: 81.18%
Image: 6.bmp_4601_0.png | Predicted: 1 | Actual: 0 | Probability: 60.22%
Image: 6.bmp_1067_0.png | Predicted: 0 | Actual: 0 | Probability: 97.76%
Image: 6.bmp_3311_0.png | Predicted: 0 | Actual: 0 | Probability: 97.14%
Image: 6.bmp_1824_0.png | Predicted: 0 | Actual: 0 | Probability: 68.49%
Image: 6.bmp_3785_0.png | Predicted: 0 | Actual: 0 | Probability: 94.58%
Image: 6.bmp_4295_0.png | Predicted: 0 | Actual: 0 | Probability: 88.96%
Image: 6.bmp_1022_0.png | Predicted: 0 | Actual: 0 | Probability: 96.77%
Image: 6.bmp_4644_0.png | Predicted: 0 | Actual: 0 | Probability: 61.01%
